Order Date,Sales,Product ID
2017-08-01,261.96,FUR-BO-10001798
2017-09-01,556.665,FUR-BO-10001798
2017-10-01,0.0,FUR-BO-10001798
2017-11-01,0.0,FUR-BO-10001798
2017-12-01,0.0,FUR-BO-10001798
2018-01-01,314.352,FUR-BO-10001798
2018-02-01,0.0,FUR-BO-10001798
2018-03-01,0.0,FUR-BO-10001798
2018-04-01,0.0,FUR-BO-10001798
2018-05-01,0.0,FUR-BO-10001798
2018-06-01,0.0,FUR-BO-10001798
2018-07-01,0.0,FUR-BO-10001798
2015-06-01,853.93,FUR-CH-10000454
2015-07-01,0.0,FUR-CH-10000454
2015-08-01,975.92,FUR-CH-10000454
2015-09-01,585.552,FUR-CH-10000454
2015-10-01,0.0,FUR-CH-10000454
2015-11-01,0.0,FUR-CH-10000454
2015-12-01,0.0,FUR-CH-10000454
2016-01-01,0.0,FUR-CH-10000454
2016-02-01,0.0,FUR-CH-10000454
2016-03-01,0.0,FUR-CH-10000454
2016-04-01,0.0,FUR-CH-10000454
2016-05-01,0.0,FUR-CH-10000454
2016-06-01,0.0,FUR-CH-10000454
2016-07-01,0.0,FUR-CH-10000454
2016-08-01,0.0,FUR-CH-10000454
2016-09-01,0.0,FUR-CH-10000454
2016-10-01,0.0,FUR-CH-10000454
2016-11-01,0.0,FUR-CH-10000454
2016-12-01,0.0,FUR-CH-10000454
2017-01-01,1317.492,FUR-CH-10000454
2017-02-01,0.0,FUR-CH-10000454
2017-03-01,0.0,FUR-CH-10000454
2017-04-01,0.0,FUR-CH-10000454
2017-05-01,1951.84,FUR-CH-10000454
2017-06-01,0.0,FUR-CH-10000454
2017-07-01,658.746,FUR-CH-10000454
2017-08-01,731.94,FUR-CH-10000454
2017-09-01,0.0,FUR-CH-10000454
2017-10-01,0.0,FUR-CH-10000454
2017-11-01,0.0,FUR-CH-10000454
2017-12-01,1707.8600000000001,FUR-CH-10000454
2018-01-01,0.0,FUR-CH-10000454
2018-02-01,975.92,FUR-CH-10000454
2018-03-01,0.0,FUR-CH-10000454
2018-04-01,0.0,FUR-CH-10000454
2018-05-01,0.0,FUR-CH-10000454
2018-06-01,487.96,FUR-CH-10000454
2018-07-01,0.0,FUR-CH-10000454
2018-08-01,0.0,FUR-CH-10000454
2018-09-01,0.0,FUR-CH-10000454
2018-10-01,0.0,FUR-CH-10000454
2015-01-01,17.544,OFF-LA-10000240
2015-02-01,0.0,OFF-LA-10000240
2015-03-01,0.0,OFF-LA-10000240
2015-04-01,0.0,OFF-LA-10000240
2015-05-01,0.0,OFF-LA-10000240
2015-06-01,0.0,OFF-LA-10000240
2015-07-01,0.0,OFF-LA-10000240
2015-08-01,0.0,OFF-LA-10000240
2015-09-01,0.0,OFF-LA-10000240
2015-10-01,0.0,OFF-LA-10000240
2015-11-01,7.31,OFF-LA-10000240
2015-12-01,0.0,OFF-LA-10000240
2016-01-01,0.0,OFF-LA-10000240
2016-02-01,0.0,OFF-LA-10000240
2016-03-01,14.62,OFF-LA-10000240
2016-04-01,0.0,OFF-LA-10000240
2016-05-01,0.0,OFF-LA-10000240
2016-06-01,0.0,OFF-LA-10000240
2016-07-01,0.0,OFF-LA-10000240
2016-08-01,0.0,OFF-LA-10000240
2016-09-01,0.0,OFF-LA-10000240
2016-10-01,0.0,OFF-LA-10000240
2016-11-01,11.696,OFF-LA-10000240
2016-12-01,0.0,OFF-LA-10000240
2017-01-01,0.0,OFF-LA-10000240
2017-02-01,29.24,OFF-LA-10000240
2017-03-01,0.0,OFF-LA-10000240
2017-04-01,0.0,OFF-LA-10000240
2017-05-01,0.0,OFF-LA-10000240
2017-06-01,0.0,OFF-LA-10000240
2017-07-01,0.0,OFF-LA-10000240
2017-08-01,0.0,OFF-LA-10000240
2017-09-01,0.0,OFF-LA-10000240
2017-10-01,0.0,OFF-LA-10000240
2017-11-01,0.0,OFF-LA-10000240
2017-12-01,14.62,OFF-LA-10000240
2018-01-01,0.0,OFF-LA-10000240
2018-02-01,0.0,OFF-LA-10000240
2018-03-01,0.0,OFF-LA-10000240
2018-04-01,0.0,OFF-LA-10000240
2015-11-01,1218.735,FUR-TA-10000577
2015-12-01,0.0,FUR-TA-10000577
2016-01-01,0.0,FUR-TA-10000577
2016-02-01,0.0,FUR-TA-10000577
2016-03-01,0.0,FUR-TA-10000577
2016-04-01,191.5155,FUR-TA-10000577
2016-05-01,0.0,FUR-TA-10000577
2016-06-01,0.0,FUR-TA-10000577
2016-07-01,0.0,FUR-TA-10000577
2016-08-01,0.0,FUR-TA-10000577
2016-09-01,1044.63,FUR-TA-10000577
2016-10-01,0.0,FUR-TA-10000577
2016-11-01,1653.9975,FUR-TA-10000577
2016-12-01,0.0,FUR-TA-10000577
2017-01-01,0.0,FUR-TA-10000577
2017-02-01,0.0,FUR-TA-10000577
2017-03-01,0.0,FUR-TA-10000577
2017-04-01,0.0,FUR-TA-10000577
2017-05-01,0.0,FUR-TA-10000577
2017-06-01,0.0,FUR-TA-10000577
2017-07-01,0.0,FUR-TA-10000577
2017-08-01,0.0,FUR-TA-10000577
2017-09-01,0.0,FUR-TA-10000577
2017-10-01,0.0,FUR-TA-10000577
2017-11-01,0.0,FUR-TA-10000577
2017-12-01,1114.272,FUR-TA-10000577
2018-01-01,0.0,FUR-TA-10000577
2018-02-01,0.0,FUR-TA-10000577
2018-03-01,0.0,FUR-TA-10000577
2018-04-01,0.0,FUR-TA-10000577
2018-05-01,0.0,FUR-TA-10000577
2018-06-01,1044.63,FUR-TA-10000577
2018-07-01,0.0,FUR-TA-10000577
2018-08-01,0.0,FUR-TA-10000577
2018-09-01,0.0,FUR-TA-10000577
2018-10-01,0.0,FUR-TA-10000577
2018-11-01,0.0,FUR-TA-10000577
2015-01-01,13.98,OFF-ST-10000760
2015-02-01,0.0,OFF-ST-10000760
2015-03-01,0.0,OFF-ST-10000760
2015-04-01,0.0,OFF-ST-10000760
2015-05-01,0.0,OFF-ST-10000760
2015-06-01,0.0,OFF-ST-10000760
2015-07-01,55.92,OFF-ST-10000760
2015-08-01,0.0,OFF-ST-10000760
2015-09-01,0.0,OFF-ST-10000760
2015-10-01,0.0,OFF-ST-10000760
2015-11-01,0.0,OFF-ST-10000760
2015-12-01,0.0,OFF-ST-10000760
2016-01-01,0.0,OFF-ST-10000760
2016-02-01,0.0,OFF-ST-10000760
2016-03-01,0.0,OFF-ST-10000760
2016-04-01,0.0,OFF-ST-10000760
2016-05-01,0.0,OFF-ST-10000760
2016-06-01,0.0,OFF-ST-10000760
2016-07-01,0.0,OFF-ST-10000760
2016-08-01,0.0,OFF-ST-10000760
2016-09-01,0.0,OFF-ST-10000760
2016-10-01,0.0,OFF-ST-10000760
2016-11-01,22.368,OFF-ST-10000760
2016-12-01,0.0,OFF-ST-10000760
2017-01-01,0.0,OFF-ST-10000760
2017-02-01,0.0,OFF-ST-10000760
2017-03-01,0.0,OFF-ST-10000760
2017-04-01,55.92,OFF-ST-10000760
2017-05-01,0.0,OFF-ST-10000760
2017-06-01,0.0,OFF-ST-10000760
2017-07-01,0.0,OFF-ST-10000760
2017-08-01,0.0,OFF-ST-10000760
2017-09-01,0.0,OFF-ST-10000760
2017-10-01,0.0,OFF-ST-10000760
2017-11-01,0.0,OFF-ST-10000760
2017-12-01,0.0,OFF-ST-10000760
2018-01-01,0.0,OFF-ST-10000760
2018-02-01,0.0,OFF-ST-10000760
2018-03-01,0.0,OFF-ST-10000760
2018-04-01,0.0,OFF-ST-10000760
2018-05-01,0.0,OFF-ST-10000760
2018-06-01,0.0,OFF-ST-10000760
2015-06-01,41.88,FUR-FU-10001487
2015-07-01,0.0,FUR-FU-10001487
2015-08-01,0.0,FUR-FU-10001487
2015-09-01,48.86,FUR-FU-10001487
2015-10-01,0.0,FUR-FU-10001487
2015-11-01,0.0,FUR-FU-10001487
2015-12-01,0.0,FUR-FU-10001487
2016-01-01,0.0,FUR-FU-10001487
2016-02-01,0.0,FUR-FU-10001487
2016-03-01,0.0,FUR-FU-10001487
2016-04-01,0.0,FUR-FU-10001487
2016-05-01,0.0,FUR-FU-10001487
